"510028","1","3","13"
"512028","0","0","0"
"514028","0","0","0"
"516028","3948","1296","5302"
"518028","379","1381","1854"
"520028","0","1","1"
"524028","0","0","0"
"526028","3","8","14"
"527028","16","97","118"
"529028","0","0","0"
"531028","6341","580","7113"
"535028","0","0","0"
"536028","0","1","1"
"540028","0","0","1"
"541028","0","1","1"
"543028","173","26","202"
"545028","0","1","1"
"547028","0","1","5"
"548028","1","1","5"
"550028","47","35","82"
"551028","57","69","158"
"552028","4496","213","4731"
"553028","0","3","3"
"554028","0","2","2"
"556028","0","2","3"
"559028","3","4","7"
"560028","503","31","537"
"562028","9","401","423"
"581028","0","766","802"
"583028","0","0","0"
"586028","0","1","1"
"590028","0","0","1"
"594028","10","3","19"
"596028","697","68","772"
"599028","21","5","50"
"603028","9","6","20"
"605028","1","4","5"
"606028","0","0","1"
"609028","0","0","1"
"616028","0","0","0"
"617028","118","17","135"
"620028","110","30","144"
"622028","0","0","2"
"623028","334","36","380"
"625028","11","12","27"
"626028","0","0","0"
"628028","0","0","0"
"633028","0","2","2"
"641028","0","0","0"
"648028","3478","288","3843"
"651028","0","0","0"
"655028","0","0","0"
"659028","0","0","1"
"661028","0","0","0"
"662028","3459","228","3738"
"663028","4","14","18"
"669028","0","0","0"
"674028","0","2","8"
"676028","0","0","0"
"678028","1273","43741","52719"
"680028","11","0","17"
"686028","111","60","181"
"687028","0","0","0"
"689028","7161","656","7911"
"690028","493","123","628"
"693028","0","5","5"
"695028","14","8","25"
"697028","0","0","0"
"698028","3","13","17"
"699028","0","0","0"
"701028","0","0","8"
"702028","0","0","32"
"703028","0","0","1"
"708028","5","3","22"
"715028","0","0","4"
"717028","17366","1488","19115"
"719028","57","21","465"
"728028","4363","393","5429"
"751028","47027","1347","50155"
"759028","55378","934","56923"
"766028","0","0","1"
"771028","39","11","51"
"776028","1","5","10"
"779028","18","6","24"
"781028","2","2","5"
"785028","66","3","73"
"786028","118","1","133"
"787028","4","3","8"
"790028","1952","18","2378"
"792028","2311","15","2516"
"801028","0","0","4"
"806028","9408","495","9989"
"819028","235","144","788"
"825028","10","5","21"
"829028","0","2","13"
"830028","58","24","85"
"831028","0","1","2"
"832028","0","0","0"
"833028","0","0","0"
"834028","0","3","3"
"837028","124","163","338"
"838028","5479","40","6141"
"839028","3349","13","3556"
"840028","67","0","111"
"851028","10","57","69"
"859028","36","8","115"
"861028","0","0","1"
"862028","15","15","84"
"865028","113","15","130"
"866028","0","0","4"
"869028","0","1","1"
"870028","0","16","108"
"876028","7","2","39"
"878028","0","0","1"
"882028","1","2","3"
"883028","0","0","3"
"890028","0","0","0"
"896028","0","1","1"
"897028","0","0","0"
"899028","0","0","0"
"905028","0","0","2"
"909028","23","12","49"
"910028","0","0","0"
"911028","7","10","19"
"914028","545","389","963"
"917028","0","0","0"
"920028","5230","325","5611"
"922028","2","3","6"
"924028","0","0","0"
"926028","1","4","5"
"927028","1","4","11"
"929028","0","0","1"
"933028","0","1","73"
"938028","25","43","173"
"939028","0","1","2"
"941028","7788","293","8181"
"942028","0","7","20"
"943028","0","0","1"
"947028","4889","28","5220"
"952028","0","1","7"
"954028","0","0","2"
"955028","0","0","3"
"961028","0","1","1"
"963028","0","4","4"
"964028","0","0","0"
"968028","0","0","0"
"969028","1","5","9"
"973028","185","12","233"
"976028","0","0","0"
"978028","0","0","1"
"980028","17","2","63"
"985028","0","4","6"
"988028","47","5","52"
"995028","0","0","1"
"1001028","0","0","0"
"1012028","3307","122","3878"
"1016028","0","0","2"
"1019028","0","0","1"
"1025028","0","0","1"
"1026028","62","6","93"
"1028028","224","51","286"
"1031028","36","10","49"
"1032028","0","1","2"
"1033028","0","0","2"
"1034028","0","29","30"
"1042028","196","32","232"
"1048028","6","20","27"
"1049028","0","7","15"
"1050028","1","2","3"
"1054028","120","18","142"
"1055028","0","1","4"
"1061028","1","3","5"
"1065028","0","1","1"
"1068028","0","1","1"
"1079028","0","337","353"
"1082028","0","1","1"
"1087028","22","15","38"
"1088028","0","0","0"
"1093028","0","0","0"
"1097028","0","0","0"
"1098028","0","0","0"
"1099028","0","0","0"
"1104028","0","0","0"
"1106028","0","0","0"
"1108028","0","0","0"
"1109028","0","1","3"
"1110028","0","0","0"
"1111028","1","1","7"
"1112028","0","2","2"
"1120028","158","6120","6591"
"1121028","0","0","1"
"1123028","0","0","1"
"1124028","0","1","1"
"1130028","40","3","46"
"1131028","500","113","860"
"1133028","1","3","4"
"1135028","0","2","4"
"1138028","0","0","0"
"1142028","0","1","2"
"1150028","176","4","198"
"1151028","248","8","291"
"1152028","0","1","1"
"1153028","3","8","15"
"1157028","0","0","1"
"1158028","0","0","0"
"1161028","0","1","6"
"1168028","0","0","3"
"1169028","4299","74","4767"
"1170028","0","0","1"
"1183028","0","1","1"
"1184028","0","0","1"
"1186028","35","6","71"
"1189028","10","37","55"
"1190028","298","34","354"
"1196028","8","6","14"
"1197028","68","109","189"
"1204028","0","0","3"
"1206028","20","10","33"
"1214028","0","0","2"
"1216028","0","0","3"
"1221028","0","2","2"
"1224028","17","2","20"
"1230028","387","65","467"
"1232028","0","2","2"
"1235028","6","2","8"
"1239028","3","20","41"
"1242028","58","18","78"
"1251028","20","7","28"
"1252028","0","890","958"
"1253028","6349","183","7078"
"1258028","3","2","6"


